vh,perdel,bgtime,deltime,speed,dist,occ,carpop
5000,0.01,88.11442,24.62999,12.09731,17.14038,0.736191,151.9444
5000,0.02,88.087,23.73761,12.25149,17.99194,0.744746,152.0944
5000,0.03,87.23333,22.72793,12.2524,18.49972,0.743609,153.3944
5000,0.04,87.61407,19.77472,12.42069,17.01522,0.732909,164.45
5000,0.05,87.44997,20.90612,12.50795,19.07109,0.744057,152.8722
5000,0.06,87.82661,23.73761,12.57611,19.65019,0.738748,157.3056
5000,0.07,87.95801,22.21773,12.61662,20.17628,0.748285,150.2167
5000,0.08,88.35819,23.87438,12.63919,19.38978,0.743006,155.0667
5000,0.09,88.08952,21.35152,12.7061,19.52271,0.749668,149.0833
5000,0.1,88.12085,19.17014,12.77364,18.63352,0.753331,145.2167
6000,0.01,89.48476,20.1453,11.35741,17.88294,0.810733,254.0833
6000,0.02,89.41479,20.22071,11.55487,18.96763,0.815944,250.4
6000,0.03,90.17956,22.87291,11.7602,19.91889,0.804499,241.0111
6000,0.04,89.86421,22.51811,11.79181,20.30907,0.816854,249.9167
6000,0.05,89.81137,21.26939,11.73179,19.43439,0.815266,229.0333
6000,0.06,89.75311,23.77147,11.74239,21.23304,0.795095,243.0167
6000,0.07,89.5648,20.64145,12.10469,20.77464,0.797879,238.2333
6000,0.08,89.81203,21.49228,12.03447,21.96951,0.805547,221.0111
6000,0.09,89.50176,20.92087,12.05254,20.53888,0.809027,229.5778
6000,0.1,89.72441,21.5415,12.47015,19.53888,0.805289,222.6333
7000,0.01,93.13791,24.55645,9.970021,19.40728,0.902782,325.8389
7000,0.02,93.18954,23.79091,10.22107,20.16996,0.906807,327.9056
7000,0.03,93.60002,20.2914,10.79142,19.88741,0.923821,335.3
7000,0.04,93.46501,22.79514,10.8347,21.11086,0.9209,320.8889
7000,0.05,93.57626,21.5571,10.85105,20.92485,0.900218,318.4056
7000,0.06,93.56552,22.85989,10.94055,22.06009,0.934297,306.8278
7000,0.07,93.93645,22.59001,10.91189,21.15783,0.925325,314.6889
7000,0.08,93.28431,20.97488,11.04595,19.25456,0.912183,307.65
7000,0.09,93.72436,22.1735,11.16293,18.51829,0.900431,310.9722
7000,0.1,93.55966,22.09154,11.29191,24.47943,0.937598,314.7667
8000,0.01,97.09618,21.06511,9.536256,23.88132,0.954647,460.5
8000,0.02,97.36768,19.35916,9.619025,22.5544,0.945459,416.8444
8000,0.03,97.7472,21.72444,9.613518,23.16425,0.959593,427.0111
8000,0.04,98.05268,23.20263,9.770434,22.76825,0.968654,439.0444
8000,0.05,98.37938,22.50884,9.736603,24.95065,0.945569,420.1722
8000,0.06,98.47648,20.76332,9.855136,23.62572,0.96132,407.95
8000,0.07,98.76965,19.96481,9.917378,24.95095,0.956992,395.2944
8000,0.08,99.53915,21.09034,10.17527,23.69149,0.9523,419.0444
8000,0.09,99.73517,19.16778,10.15973,32.80362,0.954725,414.2056
8000,0.1,99.89747,22.32427,10.42833,31.45312,0.948099,388.3
9000,0.01,120.348,21.53209,5.256635,30.80362,0.961529,629.3944
9000,0.02,124.4145,24.33632,5.571017,30.16425,0.892439,633.6667
9000,0.03,125.4358,21.63121,5.654704,30.01829,0.875588,640.7
9000,0.04,126.6072,22.58824,5.850735,30.62572,0.863816,649.3556
9000,0.05,128.3936,20.8416,5.931875,35.89437,0.859619,626.6333
9000,0.06,128.9375,22.2536,5.182592,38.48674,0.824855,641.1
9000,0.07,130.6759,23.37482,5.556813,42.91629,0.795918,714.9278
9000,0.08,145.5873,22.45394,5.653881,50.30267,0.763174,735.4222
9000,0.09,155.2302,22.10991,5.906095,57.03942,0.741972,746.2278
9000,0.1,160.8014,22.05832,5.758679,60.0411,0.702931,767.8111
