Road,Link,Next,U-Turn
r1,l1,,l2
r1,l2,,l1
r2,l3,,l4
r2,l4,,l3
r3,l5,,l6
r3,l6,,l5
r4,l7,,l8
r4,l8,,l7
r5,l9,,l10
r5,l10,,l9
r6,l11,,l12
r6,l12,,l11
r7,l13,,l14
r7,l14,,l13
r8,l15,,l16
r8,l16,,l15
r9,l17,,l18
r9,l18,,l17
r10,l19,,l20
r10,l20,,l19
r11,l21,,l22
r11,l22,,l21
r12,l23,,l24
r12,l24,,l23
r13,l25,,l26
r13,l26,,l25
r14,l27,,l28
r14,l28,,l27
r15,l29,,l30
r15,l30,,l29
r16,l31,,l32
r16,l32,,l31
r17,l33,,l34
r17,l34,,l33
r18,l35,,l36
r18,l36,,l35
r19,l37,,l38
r19,l38,,l37
r20,l39,,l40
r20,l40,,l39
r21,l41,,l42
r21,l42,,l41
r22,l43,,l44
r22,l44,,l43
r23,l45,,l46
r23,l46,,l45
r24,l47,,l48
r24,l48,,l47
r25,l49,,l50
r25,l50,,l49
r26,l51,,l52
r26,l52,,l51
r27,l53,,l54
r27,l54,,l53
r28,l55,,l56
r28,l56,,l55
r29,l57,,l58
r29,l58,,l57
r30,l59,,l60
r30,l60,,l59
r31,l61,,l62
r31,l62,,l61
r32,l63,,l64
r32,l64,,l63
r33,l65,,l66
r33,l66,,l65
r34,l67,,l68
r34,l68,,l67
r35,l69,,l70
r35,l70,,l69
r36,l71,,l72
r36,l72,,l71
r37,l73,,l74
r37,l74,,l73
r38,l75,,l76
r38,l76,,l75
r39,l77,,l78
r39,l78,,l77
r40,l79,,l80
r40,l80,,l79
r41,l81,,l82
r41,l82,,l81
r42,l83,,l84
r42,l84,,l83
r43,l85,,l86
r43,l86,,l85
r44,l87,,l88
r44,l88,,l87
r45,l89,,l90
r45,l90,,l89
r46,l91,,l92
r46,l92,,l91
r47,l93,,l94
r47,l94,,l93
r48,l95,,l96
r48,l96,,l95
r49,l97,,l98
r49,l98,,l97
r50,l99,,l100
r50,l100,,l99
r51,l101,,l102
r51,l102,,l101
