bgtime, deltime, speed, dist, occ
-21.191215, -20.4801670, 4.00224234, -15.662184, -0.04540198
-20.838915, -19.5885070, 3.71566234, -16.484484, -0.02458698
-20.827195, -23.6562070, 3.48448234, -16.229974, -0.04632998
-21.192955, -22.7559170, 3.34888234, -15.967884, -0.02902398
-20.777465, -21.0127670, 3.04518234, -15.182714, -0.02529398
-20.846615, -22.7394170, 2.84537234, -15.406624, -0.01778398
-20.969335, -19.3884770, 2.51271234, -15.822394, -0.03595598
-21.517415, -22.1470870, 2.43723234, -15.292434, -0.02729698
-21.028875, -21.0135070, 2.23266234, -15.226364, -0.01787598
-20.946355, -21.5620170, 1.86448234, -16.038284, -0.04211398
-18.978405, -20.7217070, 3.48988234, -15.865934, 0.03314402
-19.192065, -19.2897970, 3.37448234, -15.715514, 0.03997202
-19.012065, -18.9774170, 3.31792234, -15.641294, 0.02645102
-18.970755, -18.0760270, 3.11312234, -14.729424, 0.04034702
-18.690565, -17.1436770, 2.89610234, -15.001014, 0.05871202
-18.568335, -19.3310670, 2.69200234, -14.394234, 0.03950002
-18.182245, -18.5998670, 2.30668234, -15.762724, 0.02413402
-18.821265, -18.9709070, 1.97982234, -15.249794, 0.05308202
-18.177575, -19.4078270, 1.65994234, -13.921224, 0.04517102
.221195, -19.3070870, 1.48478534, -14.392434, 0.03874302
-12.942195, -13.6940270, 2.14966234, -13.871794, 0.16698502
-13.094405, -12.9379670, 1.91898234, -13.924134, 0.17475302
-12.926745, -11.0803670, 1.75015234, -14.018414, 0.18808902
-12.545975, -14.7783470, 1.50783534, -11.815394, 0.19338802
-12.530355, -13.4994170, 1.27301634, -12.782254, 0.18610902
-12.473915, -14.0662370, 1.06644534, -13.244024, 0.19594302
-12.689455, -14.2587670, 0.93760334, -13.297574, 0.18541402
-12.351705, -10.7675070, 0.78625834, -12.795994, 0.18599902
-12.169375, -11.0781070, 0.55336034, -14.012694, 0.16967302
-12.174455, -10.2011670, 0.32067134, -12.538914, 0.19655702
-6.466545, -3.5158270, -0.00301066, 2.169926, -0.17738898
-4.869945, -2.8836270, -0.22996066, 4.668046, -0.05940698
-4.220445, -4.6628270, -0.49106366, 6.046746, -0.06184698
-3.848545, -3.8959270, -0.73722566, 6.337016, -0.05795698
-3.969545, -6.1217270, -0.91382966, 7.768566, -0.05357498
-3.590145, -2.9455270, -1.20401566, 8.032886, -0.05430698
45.765655, 46.1091730, -1.37731766, 8.354246, -0.06287698
-3.230045, -1.3319270, -1.51316866, 10.298816, -0.06133698
-2.973645, -5.6203270, -1.73260866, 11.346386, -0.05223598
-2.532345, -0.9527270, -2.02530966, 11.940236, -0.05594698
36.680255, 34.6087730, -4.54474466, 27.253186, -0.13663798
39.594155, 41.3834730, -5.19170366, 28.911386, -0.12816798
45.470255, 45.0055730, -5.28986966, 32.758666, -0.13953898
47.412155, 48.2079730, -5.17701166, 34.614536, -0.11818398
48.853255, 50.2025730, -5.62745366, 36.840166, -0.08488098
50.500055, 51.5181730, -6.20608066, 38.084036, -0.11738798
54.286555, 55.3784730, -6.26547466, 39.863676, -0.14134598
60.004355, 58.7853730, -5.88253966, 41.044376, -0.11128798
63.313455, 62.8242730, -6.71860466, 41.461116, -0.13406298
66.670455, 68.4379730, -6.93665366, 42.494106, -0.12212898
-12.735465, 0.7189238, 1.96534966, -7.954930, -0.11389388
-12.762885, -0.1734562, 2.11952966, -7.103370, -0.10533888
-13.616555, -1.1831362, 2.12043966, -6.595590, -0.10647588
-13.235815, -4.1363462, 2.28872966, -8.080090, -0.11717588
-13.399915, -3.0049462, 2.37598966, -6.024220, -0.10602788
-13.023275, -0.1734562, 2.44414966, -5.445120, -0.11133688
-12.891875, -1.6933362, 2.48465966, -4.919030, -0.10179988
-12.491695, -0.0366862, 2.50722966, -5.705530, -0.10707888
-12.760365, -2.5595462, 2.57413966, -5.572600, -0.10041688
-12.729035, -4.7409262, 2.64167966, -6.461790, -0.09675388
-11.365125, -3.7657662, 1.22544966, -7.212370, -0.03935188
-11.435095, -3.6903562, 1.42290966, -6.127680, -0.03414088
-10.670325, -1.0381562, 1.62823966, -5.176420, -0.04558588
-10.985675, -1.3929562, 1.65984966, -4.786240, -0.03323088
-11.038515, -2.6416762, 1.59982966, -5.660920, -0.03481888
-11.096775, -0.1395962, 1.61042966, -3.862270, -0.05498988
-11.285085, -3.2696162, 1.97272966, -4.320670, -0.05220588
-11.037855, -2.4187862, 1.90250966, -3.125800, -0.04453788
-11.348125, -2.9901962, 1.92057966, -4.556430, -0.04105788
-11.125475, -2.3695662, 2.33818966, -5.556430, -0.04479588
-7.711975, 0.6453838, -0.16193934, -5.688030, 0.05269712
-7.660345, -0.1201562, 0.08910966, -4.925350, 0.05672212
-7.249865, 96.3803338, 0.65945966, -5.207900, 0.07373612
-7.384875, -1.1159262, 0.70273966, -3.984450, 0.07081512
-7.273625, -2.3539662, 0.71908966, -4.170460, 0.05013312
-7.284365, -1.0511762, 0.80858966, -3.035220, 0.08421212
-6.913435, -1.3210562, 0.77992966, -3.937480, 0.07524012
-7.565575, -2.9361862, 0.91398966, -5.840750, 0.06209812
-7.125525, -1.7375662, 1.03096966, -6.577020, 0.05034612
-7.290225, -1.8195262, 1.15994966, -0.615880, 0.08751312
-3.753705, -2.8459562, -0.59570434, -1.213990, 0.10456212
-3.482205, -4.5519062, -0.51293534, -2.540910, 0.09537412
-3.102685, -2.1866262, -0.51844234, -1.931060, 0.10950812
-2.797205, -0.7084362, -0.36152634, -2.327060, 0.11856912
-2.470505, -1.4022262, -0.39535734, -0.144660, 0.09548412
-2.373405, -3.1477462, -0.27682434, -1.469590, 0.11123512
-2.080235, -3.9462562, -0.21458234, -0.144360, 0.10690712
-1.310735, -2.8207262, 0.04330966, -1.403820, 0.10221512
-1.114715, -4.7432862, 0.02776966, 7.708310, 0.10464012
-0.952415, -1.5867962, 0.29636966, 6.357810, 0.09801412
19.498115, -2.3789762, -4.87532534, 5.708310, 0.11144412
23.564615, 0.4252538, -4.56094334, 5.068940, 0.04235412
24.585915, -2.2798562, -4.47725634, 4.922980, 0.02550312
25.757315, -1.3228262, -4.28122534, 5.530410, 0.01373112
27.543715, -3.0694662, -4.20008534, 10.799060, 0.00953412
28.087615, -1.6574662, -4.94936834, 13.391430, -0.02522988
29.826015, -0.5362462, -4.57514734, 17.820980, -0.05416688
44.737415, -1.4571262, -4.47807934, 25.207360, -0.08691088
54.380315, -1.8011562, -4.22586534, 31.944110, -0.10811288
59.951515, -1.8527462, -4.37328134, 34.945790, -0.14715388
